N_WORKERS,COMM_PERIOD,TIME,ACCURACY
200,80,8.653171,81.9900
216,200,8.030328,81.2800
200,1,134.888994,82.5900
64,50,18.200409,82.5900
32,100,27.017211,82.6200
128,50,11.502700,82.4400
8,200,94.286817,82.6600
128,100,10.689734,82.3000
32,200,26.625023,82.5500
64,200,17.785563,82.3400
100,100,12.336116,82.4100
32,50,27.834111,82.6700
64,1,70.212254,82.7200
128,1,101.491160,82.6500
8,400,94.490093,82.6600
100,200,11.918386,82.0300
216,10,15.724007,82.6400
128,200,10.604607,81.7400
8,10,101.950370,82.6900
8,100,94.649447,82.6200
32,80,26.856076,82.6400
2,400,162.478393,82.7300
216,80,8.423150,81.9200
200,10,15.636256,82.6400
8,80,95.397447,82.6300
200,400,8.203453,80.6900
200,50,9.194627,82.2700
200,200,8.155414,81.3100
64,400,17.639698,82.0800
64,100,17.554588,82.4600
100,1,81.115174,82.6300
64,80,17.855352,82.5100
128,80,11.081405,82.3700
8,1,156.761817,82.7000
64,10,21.966976,82.6800
32,10,32.462636,82.6800
200,100,8.877525,81.7800
100,400,12.762597,81.5500
32,1,83.097684,82.6800
8,50,95.892139,82.6300
100,50,13.714152,82.5200
100,10,17.814844,82.6700
32,400,26.311905,82.4500
216,400,7.742520,80.5200
100,80,12.721571,82.4100
216,1,140.504786,82.6300
128,400,10.715541,81.3100
216,100,8.613775,81.7800
128,10,16.397711,82.5900
216,50,9.266356,82.2700
