N_WORKERS,COMM_PERIOD,OVERLAP,COMM_MODE,AGG_MODE,NONIID,UNBALANCED,TIME,ACCURACY
128,1,0.0,0,0,0,0,46.962904,87.0500
128,10,0.0,0,0,0,0,14.321549,86.9900
128,20,0.0,0,0,0,0,12.263984,86.9500
128,50,0.0,0,0,0,0,11.459953,86.6600
128,100,0.0,0,0,0,0,11.024461,86.2400
32,1,0.0,0,0,0,0,38.725822,89.5800
32,10,0.0,0,0,0,0,26.163773,89.5600
32,20,0.0,0,0,0,0,23.818460,89.5300
32,50,0.0,0,0,0,0,23.179106,89.4900
32,100,0.0,0,0,0,0,22.945643,89.3900
64,1,0.0,0,0,0,0,34.593874,88.4400
64,10,0.0,0,0,0,0,17.818068,88.4300
64,20,0.0,0,0,0,0,16.218274,88.4000
64,50,0.0,0,0,0,0,15.012941,88.2600
64,100,0.0,0,0,0,0,14.756710,88.0200
8,1,0.0,0,0,0,0,80.284260,91.2600
8,10,0.0,0,0,0,0,67.634710,91.2600
8,20,0.0,0,0,0,0,67.073928,91.2800
8,50,0.0,0,0,0,0,66.709684,91.2800
8,100,0.0,0,0,0,0,68.440570,91.3000
