N_WORKERS,COMM_PERIOD,TIME,ACCURACY,OVERLAP
16,1,15.975141,86.1300,0.0
16,1,16.849420,86.2900,0.4
16,1,18.140218,86.2900,0.8
16,10,7.403856,86.1200,0.0
16,10,9.759100,86.2900,0.4
16,10,11.984868,86.3600,0.8
16,20,7.077538,86.1200,0.0
16,20,9.375863,86.2500,0.4
16,20,11.771325,86.3900,0.8
16,40,7.804751,86.1900,0.0
16,40,10.364799,86.2300,0.4
16,40,12.985963,86.3800,0.8
16,80,9.540637,86.2200,0.0
16,80,13.141877,86.3200,0.4
16,80,16.372380,86.3800,0.8
16,100,6.697726,86.0700,0.0
16,100,9.145191,86.3000,0.4
16,100,11.496845,86.3500,0.8
32,1,19.247735,85.3700,0.0
32,1,20.878171,85.7600,0.4
32,1,23.610446,85.9900,0.8
32,10,6.097701,85.3800,0.0
32,10,7.777934,85.7100,0.4
32,10,9.221584,85.9700,0.8
32,20,5.433597,85.3900,0.0
32,20,6.786178,85.6800,0.4
32,20,8.395383,85.9800,0.8
32,40,5.442882,85.5700,0.0
32,40,7.136898,85.8000,0.4
32,40,8.725446,86.0800,0.8
32,80,6.243352,85.8000,0.0
32,80,8.255326,86.0000,0.4
32,80,10.351678,86.2000,0.8
32,100,4.774168,85.2500,0.0
32,100,6.220434,85.6800,0.4
32,100,7.641300,85.9300,0.8
64,1,22.322847,84.3000,0.0
64,1,29.500941,84.9500,0.4
64,1,33.525853,85.2600,0.8
64,10,5.809648,84.2600,0.0
64,10,6.288394,84.8800,0.4
64,10,7.602529,85.2200,0.8
64,20,4.375286,84.2400,0.0
64,20,5.396891,84.8500,0.4
64,20,6.504640,85.1900,0.8
64,40,4.282843,84.5500,0.0
64,40,5.366429,85.1000,0.4
64,40,6.475087,85.4600,0.8
64,80,4.538051,84.8500,0.0
64,80,5.760224,85.3800,0.4
64,80,7.187536,85.7300,0.8
64,100,3.702456,84.1600,0.0
64,100,4.590924,84.7000,0.4
64,100,5.711209,85.0700,0.8
8,1,17.210551,86.3200,0.0
8,1,21.487015,86.3500,0.4
8,1,25.625124,86.5000,0.8
8,10,11.780788,86.3000,0.0
8,10,16.035784,86.3500,0.4
8,10,20.158040,86.5000,0.8
8,20,11.454207,86.3200,0.0
8,20,15.649399,86.3500,0.4
8,20,19.840704,86.5100,0.8
8,40,13.419973,86.2700,0.0
8,40,18.384064,86.4100,0.4
8,40,23.190774,86.5000,0.8
8,80,17.362270,86.2900,0.0
8,80,23.922885,86.3400,0.4
8,80,30.644104,86.4400,0.8
8,100,11.262548,86.3000,0.0
8,100,15.524620,86.3600,0.4
8,100,19.734402,86.4900,0.8
