,N_WORKERS,COMM_PERIOD,TIME,ACCURACY,DATASET
0,7,1,155.87,90.54,MNIST
1,7,10,101.86,90.52,MNIST
2,7,50,96.17,90.52,MNIST
3,7,80,95.31,90.51,MNIST
4,7,100,95.15,90.52,MNIST
5,7,200,94.02,90.5,MNIST
6,7,400,94.04,90.51,MNIST
7,31,1,83.53,90.6,MNIST
8,31,10,31.9,90.57,MNIST
9,31,50,27.57,90.33,MNIST
10,31,80,26.95,90.25,MNIST
11,31,100,26.86,90.21,MNIST
12,31,200,26.53,90.03,MNIST
13,31,400,25.75,89.92,MNIST
14,63,1,70.65,90.47,MNIST
15,63,10,21.62,90.43,MNIST
16,63,50,17.79,90.17,MNIST
17,63,80,17.7,90.04,MNIST
18,63,100,17.52,89.96,MNIST
19,63,200,17.44,89.68,MNIST
20,63,400,17.09,89.39,MNIST
21,99,1,81.0,90.4,MNIST
22,99,10,17.4,90.38,MNIST
23,99,50,13.04,89.97,MNIST
24,99,80,12.5,89.83,MNIST
25,99,100,12.85,89.75,MNIST
26,99,200,12.55,89.21,MNIST
27,99,400,12.25,88.6,MNIST
28,127,1,101.92,90.36,MNIST
29,127,10,16.09,90.25,MNIST
30,127,50,11.39,89.79,MNIST
31,127,80,10.78,89.51,MNIST
32,127,100,10.74,89.33,MNIST
33,127,200,10.22,88.87,MNIST
34,127,400,10.25,88.23,MNIST
35,199,1,135.14,90.27,MNIST
36,199,10,15.0,90.0,MNIST
37,199,50,8.86,89.71,MNIST
38,199,80,8.8,89.0,MNIST
39,199,100,8.5,88.79,MNIST
40,199,200,7.8,88.12,MNIST
41,199,400,8.3,87.25,MNIST
42,215,1,141.42,90.36,MNIST
43,215,10,15.96,90.09,MNIST
44,215,50,9.18,89.3,MNIST
45,215,80,8.38,88.91,MNIST
46,215,100,8.25,88.73,MNIST
47,215,200,8.24,87.95,MNIST
48,215,400,7.7,87.09,MNIST
