n_workers,scenario,remap,quantize,comm_period,send_gradients,mu_g,n_most_rep,slurm_id,accuracy,wall_time_seconds
99,1,1,0,1,0,0.0,100,9014.0,83.39,93.606165
99,1,1,0,1,0,1.0,100,9018.0,83.39,92.79369
99,1,1,0,1,1,0.0,100,9019.0,83.39,95.191287
99,1,1,0,1,1,1.0,100,9020.0,83.39,93.911543
99,1,1,0,10,0,0.0,100,9029.0,83.38,21.595242
99,1,1,0,10,0,1.0,100,9032.0,70.46,24.950124
99,1,1,0,10,1,0.0,100,9034.0,70.12,22.587487
99,1,1,0,10,1,1.0,100,9036.0,70.3,22.515068
99,1,1,1,1,0,0.0,100,9185.0,9.8,68.493573
99,1,1,1,1,0,1.0,100,9186.0,9.8,68.851697
99,1,1,1,1,1,0.0,100,9187.0,83.9,72.077025
99,1,1,1,1,1,1.0,100,9188.0,83.9,73.391298
99,1,1,1,10,0,0.0,100,9189.0,83.1,21.235888
99,1,1,1,10,0,1.0,100,9190.0,72.02,21.54643
99,1,1,1,10,1,0.0,100,9191.0,70.16,21.568657
99,1,1,1,10,1,1.0,100,9192.0,70.31,21.457917
